FirstName                                          LastName                                           JobTitle                                           rate                  Averagerate           MaximumRate
Eric                                               Brown                                              Production Technician - WC40                       15.00                 17.7588               125.50
Jo                                                 Brown                                              Production Supervisor - WC60                       25.00                 17.7588               125.50
Kevin                                              Brown                                              Marketing Assistant                                13.4615               17.7588               125.50
Janaina                                            Bueno                                              Application Specialist                             27.4038               17.7588               125.50
David                                              Campbell                                           Sales Representative                               23.0769               17.7588               125.50
John                                               Campbell                                           Production Supervisor - WC60                       25.00                 17.7588               125.50
Jun                                                Cao                                                Production Technician - WC50                       11.00                 17.7588               125.50
Rob                                                Caron                                              Production Technician - WC40                       15.00                 17.7588               125.50
Jillian                                            Carson                                             Sales Representative                               23.0769               17.7588               125.50
Andrew                                             Cencini                                            Production Technician - WC45                       10.00                 17.7588               125.50
Baris                                              Cetinok                                            Production Technician - WC40                       15.00                 17.7588               125.50
Sean                                               Chai                                               Document Control Assistant                         10.25                 17.7588               125.50
Sootha                                             Charncherngkha                                     Quality Assurance Technician                       10.5769               17.7588               125.50
Hao                                                Chen                                               Human Resources Administrative Assistant           13.9423               17.7588               125.50
John                                               Chen                                               Production Technician - WC20                       14.00                 17.7588               125.50
Alice                                              Ciccu                                              Production Technician - WC50                       11.00                 17.7588               125.50
Pat                                                Coleman                                            Janitor                                            9.25                  17.7588               125.50
Peter                                              Connelly                                           Network Administrator                              32.4519               17.7588               125.50
Stephanie                                          Conroy                                             Network Manager                                    39.6635               17.7588               125.50
Patrick                                            Cook                                               Production Technician - WC40                       15.00                 17.7588               125.50
Ryan                                               Cornelsen                                          Production Technician - WC40                       15.00                 17.7588               125.50
Ovidiu                                             Cracium                                            Senior Tool Designer                               28.8462               17.7588               125.50
Jack                                               Creasey                                            Production Technician - WC40                       15.00                 17.7588               125.50
Grant                                              Culbertson                                         Human Resources Administrative Assistant           13.9423               17.7588               125.50
Barbara                                            Decker                                             Production Technician - WC20                       14.00                 17.7588               125.50
Mary                                               Dempsey                                            Marketing Assistant                                13.4615               17.7588               125.50
Thierry                                            D'Hers                                             Tool Designer                                      25.00                 17.7588               125.50
Brenda                                             Diaz                                               Production Supervisor - WC40                       25.00                 17.7588               125.50
JoLynn                                             Dobney                                             Production Supervisor - WC60                       25.00                 17.7588               125.50
Reuben                                             D'sa                                               Production Supervisor - WC40                       25.00                 17.7588               125.50
Ed                                                 Dudenhoefer                                        Production Technician - WC60                       12.45                 17.7588               125.50
Terri                                              Duffy                                              Vice President of Engineering                      63.4615               17.7588               125.50
Maciej                                             Dusza                                              Production Technician - WC60                       12.45                 17.7588               125.50
Shelley                                            Dyck                                               Production Technician - WC20                       14.00                 17.7588               125.50
Terrence                                           Earls                                              Production Technician - WC20                       14.00                 17.7588               125.50
Susan                                              Eaton                                              Stocker                                            9.00                  17.7588               125.50
Ruth                                               Ellerbrock                                         Production Technician - WC10                       13.45                 17.7588               125.50
Terry                                              Eminhizer                                          Marketing Specialist                               14.4231               17.7588               125.50
Michael                                            Entin                                              Production Technician - WC50                       11.00                 17.7588               125.50
Gail                                               Erickson                                           Design Engineer                                    32.6923               17.7588               125.50
Ebru                                               Ersan                                              Production Technician - WC10                       13.45                 17.7588               125.50
Janeth                                             Esteves                                            Production Technician - WC45                       10.00                 17.7588               125.50
John                                               Evans                                              Production Technician - WC50                       11.00                 17.7588               125.50
Fadi                                               Fakhouri                                           Production Technician - WC20                       14.00                 17.7588               125.50
Suroor                                             Fatima                                             Production Technician - WC50                       11.00                 17.7588               125.50
Hanying                                            Feng                                               Production Technician - WC20                       14.00                 17.7588               125.50
Charles                                            Fitzgerald                                         Production Technician - WC60                       12.45                 17.7588               125.50
Kathie                                             Flood                                              Production Technician - WC45                       10.00                 17.7588               125.50
Jeffrey                                            Ford                                               Production Technician - WC10                       13.45                 17.7588               125.50
Mihail                                             Frintu                                             Production Technician - WC40                       15.00                 17.7588               125.50
John                                               Frum                                               Production Technician - WC30                       6.50                  17.7588               125.50
John                                               Frum                                               Production Technician - WC30                       7.00                  17.7588               125.50
John                                               Frum                                               Production Technician - WC30                       9.50                  17.7588               125.50
Janice                                             Galvin                                             Tool Designer                                      25.00                 17.7588               125.50
Mary                                               Gibson                                             Marketing Specialist                               14.4231               17.7588               125.50
Guy                                                Gilbert                                            Production Technician - WC60                       12.45                 17.7588               125.50
Diane                                              Glimp                                              Production Technician - WC10                       13.45                 17.7588               125.50
Scott                                              Gode                                               Production Technician - WC45                       10.00                 17.7588               125.50
Jossef                                             Goldberg                                           Design Engineer                                    32.6923               17.7588               125.50
Brian                                              Goldstein                                          Production Technician - WC40                       15.00                 17.7588               125.50
Eric                                               Gubbels                                            Production Supervisor - WC20                       25.00                 17.7588               125.50
Erin                                               Hagens                                             Buyer                                              18.2692               17.7588               125.50
Don                                                Hall                                               Production Technician - WC50                       11.00                 17.7588               125.50
David                                              Hamilton                                           Production Supervisor - WC40                       25.00                 17.7588               125.50
James                                              Hamilton                                           Vice President of Production                       84.1346               17.7588               125.50
Sariya                                             Harnpadoungsataya                                  Marketing Specialist                               14.4231               17.7588               125.50
Mark                                               Harrington                                         Quality Assurance Technician                       10.5769               17.7588               125.50
Doris                                              Hartwig                                            Production Technician - WC10                       13.45                 17.7588               125.50
Jeff                                               Hay                                                Production Supervisor - WC45                       25.00                 17.7588               125.50
Magnus                                             Hedlund                                            Facilities Administrative Assistant                9.75                  17.7588               125.50
Gordon                                             Hee                                                Buyer                                              18.2692               17.7588               125.50
Brandon                                            Heidepriem                                         Production Technician - WC60                       12.45                 17.7588               125.50
Stefen                                             Hesse                                              Production Technician - WC20                       14.00                 17.7588               125.50
Sidney                                             Higa                                               Production Technician - WC10                       13.45                 17.7588               125.50
Andrew                                             Hill                                               Production Supervisor - WC10                       25.00                 17.7588               125.50
Annette                                            Hill                                               Purchasing Assistant                               12.75                 17.7588               125.50
Christopher                                        Hill                                               Production Technician - WC10                       13.45                 17.7588               125.50
Reinout                                            Hillmann                                           Purchasing Assistant                               12.75                 17.7588               125.50
Michael                                            Hines                                              Production Technician - WC20                       14.00                 17.7588               125.50
Douglas                                            Hite                                               Production Technician - WC45                       10.00                 17.7588               125.50
Bob                                                Hohman                                             Production Technician - WC50                       11.00                 17.7588               125.50
Nicole                                             Holliday                                           Production Technician - WC40                       15.00                 17.7588               125.50
Kevin                                              Homer                                              Production Technician - WC10                       13.45                 17.7588               125.50
Russell                                            Hunter                                             Production Technician - WC50                       11.00                 17.7588               125.50
Marc                                               Ingle                                              Production Technician - WC30                       6.50                  17.7588               125.50
Marc                                               Ingle                                              Production Technician - WC30                       7.25                  17.7588               125.50
Marc                                               Ingle                                              Production Technician - WC30                       9.50                  17.7588               125.50
Shu                                                Ito                                                Sales Representative                               23.0769               17.7588               125.50
Stephen                                            Jiang                                              North American Sales Manager                       48.101                17.7588               125.50
Barry                                              Johnson                                            Production Technician - WC10                       13.45                 17.7588               125.50
David                                              Johnson                                            Production Technician - WC30                       6.50                  17.7588               125.50
David                                              Johnson                                            Production Technician - WC30                       7.25                  17.7588               125.50
David                                              Johnson                                            Production Technician - WC30                       9.50                  17.7588               125.50
Willis                                             Johnson                                            Recruiter                                          18.2692               17.7588               125.50
Wendy                                              Kahn                                               Finance Manager                                    43.2692               17.7588               125.50
Sandeep                                            Kaliyath                                           Production Technician - WC40                       15.00                 17.7588               125.50
John                                               Kane                                               Production Technician - WC10                       13.45                 17.7588               125.50
Lori                                               Kane                                               Production Supervisor - WC45                       25.00                 17.7588               125.50
Bonnie                                             Kearney                                            Production Technician - WC10                       13.45                 17.7588               125.50
Kendall                                            Keil                                               Production Technician - WC50                       11.00                 17.7588               125.50
Elizabeth                                          Keyser                                             Production Technician - WC50                       11.00                 17.7588               125.50
Karan                                              Khanna                                             Production Technician - WC60                       12.45                 17.7588               125.50
Tengiz                                             Kharatishvili                                      Control Specialist                                 16.8269               17.7588               125.50
Shane                                              Kim                                                Production Supervisor - WC45                       25.00                 17.7588               125.50
Russell                                            King                                               Production Technician - WC30                       6.50                  17.7588               125.50
Russell                                            King                                               Production Technician - WC30                       7.25                  17.7588               125.50
Russell                                            King                                               Production Technician - WC30                       9.50                  17.7588               125.50
Christian                                          Kleinerman                                         Maintenance Supervisor                             20.4327               17.7588               125.50
Reed                                               Koch                                               Production Technician - WC30                       6.50                  17.7588               125.50
Reed                                               Koch                                               Production Technician - WC30                       7.25                  17.7588               125.50
Reed                                               Koch                                               Production Technician - WC30                       9.50                  17.7588               125.50
Kirk                                               Koenigsbauer                                       Production Technician - WC45                       10.00                 17.7588               125.50
Eugene                                             Kogan                                              Production Technician - WC60                       12.45                 17.7588               125.50
Paul                                               Komosinski                                         Production Technician - WC40                       15.00                 17.7588               125.50
James                                              Kramer                                             Production Technician - WC60                       12.45                 17.7588               125.50
Mindaugas                                          Krapauskas                                         Production Technician - WC50                       11.00                 17.7588               125.50
Peter                                              Krebs                                              Production Control Manager                         24.5192               17.7588               125.50
Vamsi                                              Kuppa                                              Shipping and Receiving Clerk                       9.50                  17.7588               125.50
Eric                                               Kurjan                                             Buyer                                              18.2692               17.7588               125.50
Brian                                              LaMee                                              Scheduling Assistant                               16.00                 17.7588               125.50
Rebecca                                            Laszlo                                             Production Technician - WC60                       12.45                 17.7588               125.50
David                                              Lawrence                                           Production Technician - WC30                       6.50                  17.7588               125.50
David                                              Lawrence                                           Production Technician - WC30                       7.25                  17.7588               125.50
David                                              Lawrence                                           Production Technician - WC30                       9.50                  17.7588               125.50
Frank                                              Lee                                                Production Technician - WC40                       15.00                 17.7588               125.50
Kitti                                              Lertpiriyasuwat                                    Production Technician - WC50                       11.00                 17.7588               125.50
George                                             Li                                                 Production Technician - WC30                       6.50                  17.7588               125.50
George                                             Li                                                 Production Technician - WC30                       7.25                  17.7588               125.50
George                                             Li                                                 Production Technician - WC30                       9.50                  17.7588               125.50
Yuhong                                             Li                                                 Production Supervisor - WC20                       25.00                 17.7588               125.50
David                                              Liu                                                Accounts Manager                                   34.7356               17.7588               125.50
Jinghao                                            Liu                                                Production Supervisor - WC50                       25.00                 17.7588               125.50
Kevin                                              Liu                                                Production Technician - WC40                       15.00                 17.7588               125.50
Brian                                              Lloyd                                              Production Technician - WC40                       15.00                 17.7588               125.50
Kok-Ho                                             Loh                                                Production Supervisor - WC50                       25.00                 17.7588               125.50
Jose                                               Lugo                                               Production Technician - WC60                       12.45                 17.7588               125.50
Vidur                                              Luthra                                             Recruiter                                          18.2692               17.7588               125.50
Stuart                                             Macrae                                             Janitor                                            9.25                  17.7588               125.50
Pete                                               Male                                               Production Technician - WC50                       11.00                 17.7588               125.50
Gabe                                               Mares                                              Production Technician - WC40                       15.00                 17.7588               125.50
Diane                                              Margheim                                           Research and Development Engineer                  40.8654               17.7588               125.50
Benjamin                                           Martin                                             Production Technician - WC30                       6.75                  17.7588               125.50
Benjamin                                           Martin                                             Production Technician - WC30                       7.25                  17.7588               125.50
Benjamin                                           Martin                                             Production Technician - WC30                       9.50                  17.7588               125.50
Mindy                                              Martin                                             Benefits Specialist                                16.5865               17.7588               125.50
Frank                                              Martinez                                           Production Technician - WC40                       15.00                 17.7588               125.50
Steve                                              Masters                                            Production Technician - WC60                       12.45                 17.7588               125.50
Gigi                                               Matthew                                            Research and Development Engineer                  40.8654               17.7588               125.50
Taylor                                             Maxwell                                            Production Supervisor - WC50                       25.00                 17.7588               125.50
Mark                                               McArthur                                           Production Technician - WC60                       12.45                 17.7588               125.50
Katie                                              McAskill-White                                     Production Supervisor - WC20                       25.00                 17.7588               125.50
Alejandro                                          McGuel                                             Production Technician - WC40                       15.00                 17.7588               125.50
Yvonne                                             McKay                                              Production Technician - WC45                       10.00                 17.7588               125.50
Linda                                              Meisner                                            Buyer                                              18.2692               17.7588               125.50
Tete                                               Mensa-Annan                                        Sales Representative                               23.0769               17.7588               125.50
Susan                                              Metters                                            Production Technician - WC30                       9.50                  17.7588               125.50
Ramesh                                             Meyyappan                                          Application Specialist                             27.4038               17.7588               125.50
Thomas                                             Michaels                                           Production Technician - WC60                       12.45                 17.7588               125.50
Jan                                                Miksovsky                                          Production Technician - WC30                       9.50                  17.7588               125.50
Ben                                                Miller                                             Buyer                                              18.2692               17.7588               125.50
Dylan                                              Miller                                             Research and Development Manager                   50.4808               17.7588               125.50
Frank                                              Miller                                             Production Technician - WC50                       11.00                 17.7588               125.50
Nitin                                              Mirchandani                                        Production Technician - WC20                       14.00                 17.7588               125.50
Linda                                              Mitchell                                           Sales Representative                               23.0769               17.7588               125.50
Shammi                                             Mohamed                                            Production Technician - WC40                       15.00                 17.7588               125.50
Suchitra                                           Mohan                                              Production Technician - WC60                       12.45                 17.7588               125.50
Barbara                                            Moreland                                           Accountant                                         26.4423               17.7588               125.50
Linda                                              Moschell                                           Production Technician - WC50                       11.00                 17.7588               125.50
Zheng                                              Mu                                                 Production Supervisor - WC10                       25.00                 17.7588               125.50
Stuart                                             Munson                                             Production Technician - WC45                       10.00                 17.7588               125.50
Ken                                                Myer                                               Production Technician - WC40                       15.00                 17.7588               125.50
Paula                                              Nartker                                            Production Technician - WC40                       15.00                 17.7588               125.50
Lorraine                                           Nay                                                Production Technician - WC40                       15.00                 17.7588               125.50
Alex                                               Nayberg                                            Production Technician - WC45                       10.00                 17.7588               125.50
Merav                                              Netz                                               Production Technician - WC30                       9.50                  17.7588               125.50
Belinda                                            Newman                                             Production Technician - WC45                       10.00                 17.7588               125.50
Chad                                               Niswonger                                          Production Technician - WC50                       11.00                 17.7588               125.50
Laura                                              Norman                                             Chief Financial Officer                            39.06                 17.7588               125.50
Laura                                              Norman                                             Chief Financial Officer                            48.5577               17.7588               125.50
Laura                                              Norman                                             Chief Financial Officer                            60.0962               17.7588               125.50
Chris                                              Norred                                             Control Specialist                                 16.8269               17.7588               125.50
Fred                                               Northup                                            Production Technician - WC40                       15.00                 17.7588               125.50
Tawana                                             Nusbaum                                            Production Technician - WC40                       15.00                 17.7588               125.50
Fukiko                                             Ogisu                                              Buyer                                              18.2692               17.7588               125.50
Chris                                              Okelberry                                          Production Technician - WC60                       12.45                 17.7588               125.50
David                                              Ortiz                                              Production Technician - WC60                       12.45                 17.7588               125.50
Michiko                                            Osada                                              Production Technician - WC30                       9.50                  17.7588               125.50
Jae                                                Pak                                                Sales Representative                               23.0769               17.7588               125.50
Rajesh                                             Patel                                              Production Technician - WC40                       15.00                 17.7588               125.50
Michael                                            Patten                                             Production Technician - WC50                       11.00                 17.7588               125.50
Frank                                              Pellow                                             Buyer                                              18.2692               17.7588               125.50
Lori                                               Penor                                              Janitor                                            9.25                  17.7588               125.50
Lionel                                             Penuchot                                           Production Technician - WC45                       10.00                 17.7588               125.50
Cristian                                           Petculescu                                         Production Supervisor - WC10                       25.00                 17.7588               125.50
Carol                                              Philips                                            Production Technician - WC30                       9.50                  17.7588               125.50
Deborah                                            Poe                                                Accounts Receivable Specialist                     19.00                 17.7588               125.50
Carole                                             Poland                                             Production Technician - WC30                       9.50                  17.7588               125.50
Houman                                             Pournasseh                                         Production Technician - WC50                       11.00                 17.7588               125.50
Chris                                              Preston                                            Production Technician - WC45                       10.00                 17.7588               125.50
Michael                                            Raheem                                             Research and Development Manager                   42.4808               17.7588               125.50
Kim                                                Ralls                                              Stocker                                            9.00                  17.7588               125.50
Cynthia                                            Randall                                            Production Supervisor - WC30                       25.00                 17.7588               125.50
Linda                                              Randall                                            Production Technician - WC20                       14.00                 17.7588               125.50
Arvind                                             Rao                                                Buyer                                              18.2692               17.7588               125.50
Simon                                              Rapier                                             Production Technician - WC60                       12.45                 17.7588               125.50
Michael                                            Ray                                                Production Supervisor - WC30                       25.00                 17.7588               125.50
Sandra                                             Reátegui Alayo                                     Production Technician - WC30                       9.50                  17.7588               125.50
Randy                                              Reeves                                             Production Technician - WC60                       12.45                 17.7588               125.50
Tsvi                                               Reiter                                             Sales Representative                               23.0769               17.7588               125.50
Bjorn                                              Rettig                                             Production Technician - WC30                       9.50                  17.7588               125.50
Jack                                               Richins                                            Production Supervisor - WC30                       25.00                 17.7588               125.50
Michael                                            Rothkugel                                          Production Technician - WC40                       15.00                 17.7588               125.50
Robert                                             Rounthwaite                                        Production Technician - WC45                       10.00                 17.7588               125.50
Andy                                               Ruth                                               Production Technician - WC30                       9.50                  17.7588               125.50
Lane                                               Sacksteder                                         Production Technician - WC20                       14.00                 17.7588               125.50
Sharon                                             Salavaria                                          Design Engineer                                    32.6923               17.7588               125.50
Ivo                                                Salmre                                             Production Technician - WC20                       14.00                 17.7588               125.50
Raymond                                            Sam                                                Production Technician - WC20                       14.00                 17.7588               125.50
Mandar                                             Samant                                             Production Technician - WC50                       11.00                 17.7588               125.50
Prasanna                                           Samarawickrama                                     Production Technician - WC20                       14.00                 17.7588               125.50
Ken                                                Sánchez                                            Chief Executive Officer                            125.50                17.7588               125.50
Mikael                                             Sandberg                                           Buyer                                              18.2692               17.7588               125.50
José                                               Saraiva                                            Sales Representative                               23.0769               17.7588               125.50
Jim                                                Scardelis                                          Production Technician - WC50                       11.00                 17.7588               125.50
Mike                                               Seamans                                            Accountant                                         26.4423               17.7588               125.50
Steven                                             Selikoff                                           Production Technician - WC30                       9.50                  17.7588               125.50
Rostislav                                          Shabalin                                           Production Technician - WC30                       9.50                  17.7588               125.50
Ashvini                                            Sharma                                             Network Administrator                              32.4519               17.7588               125.50
Janet                                              Sheperdigian                                       Accounts Payable Specialist                        19.00                 17.7588               125.50
Margie                                             Shoop                                              Production Technician - WC60                       12.45                 17.7588               125.50
Britta                                             Simon                                              Production Technician - WC60                       12.45                 17.7588               125.50
Paul                                               Singh                                              Production Technician - WC20                       14.00                 17.7588               125.50
Denise                                             Smith                                              Production Technician - WC50                       11.00                 17.7588               125.50
Samantha                                           Smith                                              Production Technician - WC20                       14.00                 17.7588               125.50
Lolan                                              Song                                               Production Technician - WC50                       11.00                 17.7588               125.50
Anibal                                             Sousa                                              Production Technician - WC20                       14.00                 17.7588               125.50
Candy                                              Spoon                                              Accounts Receivable Specialist                     19.00                 17.7588               125.50
Betsy                                              Stadick                                            Production Technician - WC10                       13.45                 17.7588               125.50
Annik                                              Stahl                                              Production Technician - WC60                       12.45                 17.7588               125.50
Laura                                              Steele                                             Production Technician - WC45                       10.00                 17.7588               125.50
Min                                                Su                                                 Production Technician - WC20                       14.00                 17.7588               125.50
Michael                                            Sullivan                                           Senior Design Engineer                             36.0577               17.7588               125.50
Krishna                                            Sunkammurali                                       Production Technician - WC20                       14.00                 17.7588               125.50
Roberto                                            Tamburello                                         Engineering Manager                                43.2692               17.7588               125.50
Sameer                                             Tejani                                             Production Technician - WC50                       11.00                 17.7588               125.50
Diane                                              Tibbott                                            Production Technician - WC50                       11.00                 17.7588               125.50
Danielle                                           Tiedt                                              Production Technician - WC10                       13.45                 17.7588               125.50
Hung-Fu                                            Ting                                               Production Technician - WC20                       14.00                 17.7588               125.50
Dragan                                             Tomic                                              Accounts Payable Specialist                        19.00                 17.7588               125.50
Jean                                               Trenary                                            Information Services Manager                       50.4808               17.7588               125.50
Lynn                                               Tsoflias                                           Sales Representative                               23.0769               17.7588               125.50
Olinda                                             Turner                                             Production Technician - WC20                       14.00                 17.7588               125.50
Sairaj                                             Uddin                                              Scheduling Assistant                               16.00                 17.7588               125.50
Rachel                                             Valdez                                             Sales Representative                               23.0769               17.7588               125.50
Sylvester                                          Valdez                                             Production Technician - WC20                       14.00                 17.7588               125.50
Tom                                                Vande Velde                                        Production Technician - WC10                       13.45                 17.7588               125.50
Michael                                            Vanderhyde                                         Production Technician - WC30                       9.50                  17.7588               125.50
Garrett                                            Vargas                                             Sales Representative                               23.0769               17.7588               125.50
Ranjit                                             Varkey Chudukatil                                  Sales Representative                               23.0769               17.7588               125.50
William                                            Vong                                               Scheduling Assistant                               8.62                  17.7588               125.50
William                                            Vong                                               Scheduling Assistant                               13.50                 17.7588               125.50
William                                            Vong                                               Scheduling Assistant                               16.00                 17.7588               125.50
Rob                                                Walters                                            Senior Tool Designer                               8.62                  17.7588               125.50
Rob                                                Walters                                            Senior Tool Designer                               23.72                 17.7588               125.50
Rob                                                Walters                                            Senior Tool Designer                               29.8462               17.7588               125.50
Bryan                                              Walton                                             Accounts Receivable Specialist                     19.00                 17.7588               125.50
Jian Shuo                                          Wang                                               Production Technician - WC30                       9.50                  17.7588               125.50
Jason                                              Watters                                            Production Technician - WC30                       9.50                  17.7588               125.50
Patrick                                            Wedge                                              Production Technician - WC10                       13.45                 17.7588               125.50
Brian                                              Welcker                                            Vice President of Sales                            72.1154               17.7588               125.50
Jill                                               Williams                                           Marketing Specialist                               14.4231               17.7588               125.50
Dan                                                Wilson                                             Database Administrator                             38.4615               17.7588               125.50
John                                               Wood                                               Marketing Specialist                               14.4231               17.7588               125.50
Sheela                                             Word                                               Purchasing Manager                                 9.86                  17.7588               125.50
Sheela                                             Word                                               Purchasing Manager                                 22.50                 17.7588               125.50
Sheela                                             Word                                               Purchasing Manager                                 30.00                 17.7588               125.50
A. Scott                                           Wright                                             Master Scheduler                                   23.5577               17.7588               125.50
Peng                                               Wu                                                 Quality Assurance Supervisor                       21.6346               17.7588               125.50
David                                              Yalovsky                                           Production Technician - WC30                       9.50                  17.7588               125.50
Garrett                                            Young                                              Production Technician - WC30                       9.50                  17.7588               125.50
Nuan                                               Yu                                                 Production Technician - WC50                       11.00                 17.7588               125.50
Gary                                               Yukish                                             Production Technician - WC40                       15.00                 17.7588               125.50
Eugene                                             Zabokritski                                        Production Technician - WC30                       9.50                  17.7588               125.50
Kimberly                                           Zimmerman                                          Production Technician - WC10                       13.45                 17.7588               125.50
Michael                                            Zwilling                                           Production Technician - WC60                       12.45                 17.7588               125.50

(316 rows affected)


Completion time: 2022-09-09T16:22:04.6125494+05:30
